card_id,card_name,card_brand,card_in_out,card_record,card_summary,card_image,card_section
1,NU 오하쳌(오늘하루체크),우리카드,국내전용 없음 해외겸용 없음,전월실적20만원 이상,"온라인 쇼핑5%캐시백
간편결제5%캐시백
배달/주문5%캐시백",https://api.card-gorilla.com:8080/storage/card/762/card_img/26507/762card.png,체크카드
2,노리2 체크카드(Global),KB국민카드,국내전용 없음 해외겸용 없음,전월실적20만원 이상,"커피,모바일,문화10%할인
해외 가맹점2%할인
공항라운지연 1회이용권",https://api.card-gorilla.com:8080/storage/card/2423/card_img/27142/2423card.png,체크카드
3,신한카드 Deep Dream 체크,신한카드,해외겸용 없음,전월실적없음,"모두드림0.2%적립
더해드림0.6%적립
챙겨드림1.0%적립",https://api.card-gorilla.com:8080/storage/card/281/card_img/20503/281card.png,체크카드
4,노리2 체크카드(KB Pay),KB국민카드,국내전용 없음 해외겸용 없음,전월실적20만원 이상,"커피, 모바일, 문화10%할인
뷰티, 편의점5%할인
KB Pay2%추가 할인",https://api.card-gorilla.com:8080/storage/card/2422/card_img/27141/2422card.png,체크카드
5,카드의정석 EVERY CHECK,우리카드,국내전용 없음 해외겸용 없음,전월실적없음,"국내외 가맹점0.2%적립
전월실적에 따라최대 3천원추가 적립
공연·테마파크·영화·여행 중 한 곳1만원적립",https://api.card-gorilla.com:8080/storage/card/2552/card_img/29589/2552card.png,체크카드
6,노리체크카드,KB국민카드,국내전용 없음 해외겸용 없음,전월실적20만원 이상,"대중교통10%청구할인
이동통신요금2,500원환급할인
CGV35%환급할인",https://api.card-gorilla.com:8080/storage/card/348/card_img/20581/348card.png,체크카드
7,네이버페이 우리카드 체크,우리카드,"국내전용 5,000원 해외겸용 5,000원",전월실적없음,"네이버페이1%적립
공항라운지무료이용
해외수수료면제서비스",https://api.card-gorilla.com:8080/storage/card/588/card_img/21345/588card.png,체크카드
8,알뜰교통카드 COOKIE CHECK,우리카드,국내전용 없음 해외겸용 없음,전월실적20만원 이상,"인천공항라운지무료입장서비스
대중교통3천원캐시백
영화5천원캐시백",https://api.card-gorilla.com:8080/storage/card/584/card_img/21328/584card.png,체크카드
9,신한카드 플리 체크(산리오캐릭터즈),신한카드,국내전용 없음 해외겸용 없음,전월실적없음,"국내 이용금액최대 0.3%할인
해외 이용금액0.2%할인
매 월 2회할인쿠폰제공",https://api.card-gorilla.com:8080/storage/card/2492/card_img/28476/2492card.png,체크카드
10,PAYCO 포인트 카드,엔에이치엔페이코,해외겸용 없음,전월실적없음,"국내 어디서나최대1%무한적립
이달의 브랜드최대10%적립
발급즉시5,000원쿠폰 지급",https://api.card-gorilla.com:8080/storage/card/2310/card_img/23676/2310card.png,체크카드
11,카카오페이 KB국민 체크카드,KB국민카드,국내전용 없음 해외겸용 없음,전월실적30만원 이상,"카카오페이 결제2%적립
커피전문점1%카카오페이머니 적립
대중교통1%카카오페이머니 적립",https://api.card-gorilla.com:8080/storage/card/332/card_img/20576/332card.png,체크카드
12,네이버페이 머니 하나 체크카드,하나카드,국내전용 없음 해외겸용 없음,전월실적25만원 이상,네이버페이1.2%포인트 적립,https://api.card-gorilla.com:8080/storage/card/2432/card_img/27295/2432card.png,체크카드
13,토스뱅크카드,토스뱅크,해외겸용 없음,전월실적없음,"대중교통500원캐시백
커피500원캐시백
편의점500원캐시백",https://api.card-gorilla.com:8080/storage/card/2269/card_img/20697/2269card.png,체크카드
14,신한카드 On 체크(잔망루피),신한카드,국내전용 없음 해외겸용 없음,전월실적20만원 이상,"간편결제2%적립
생활편의2%적립
해외 이용금액1.3%적립",https://api.card-gorilla.com:8080/storage/card/2379/card_img/25379/2379card.png,체크카드
15,카드의정석 COOKIE CHECK,우리카드,국내전용 없음 해외겸용 없음,전월실적20만원 이상,"전세계 공항라운지무료입장서비스
해외가맹점2~1%캐시백
영화5,000원캐시백",https://api.card-gorilla.com:8080/storage/card/312/card_img/20557/312card.png,체크카드
16,010PAY 체크카드,우리카드,국내전용 없음 해외겸용 없음,전월실적없음,"결제할 때마다최대 0.4%적립
매월 3번 응DAY엔3.3%추가적립
휴대폰 소액결제로최대 20만원충전가능",https://api.card-gorilla.com:8080/storage/card/765/card_img/25707/765card.png,체크카드
17,NH20해봄체크카드,NH농협카드,국내전용 없음 해외겸용 없음,전월실적20만원 이상,"온라인쇼핑몰5%할인
배달앱5%할인
커피20%할인",https://api.card-gorilla.com:8080/storage/card/362/card_img/20603/362card.png,체크카드
18,알뜰교통카드 S20 체크,신한카드,해외겸용 없음,전월실적20만원 이상,"전국 지하철/버스/택시10%캐시백
이동통신요금 최대3천원캐시백
커피전문점20%캐시백",https://api.card-gorilla.com:8080/storage/card/743/card_img/28952/743card.png,체크카드
19,신한카드 Hey Young 체크,신한카드,국내전용 없음 해외겸용 없음,전월실적20만원 이상,"대중교통5%캐시백
영화5천원캐시백
간편결제1%캐시백",https://api.card-gorilla.com:8080/storage/card/618/card_img/21385/618card.png,체크카드
20,직장인보너스체크카드,KB국민카드,국내전용 없음 해외겸용 없음,전월실적20만원 이상,"국세/지방세7,000원할인
GS칼텍스60~50원/L할인
백화점5%할인",https://api.card-gorilla.com:8080/storage/card/350/card_img/20594/350card.png,체크카드
21,카카오뱅크 프렌즈 체크카드,카카오뱅크,해외겸용 없음,전월실적없음,"국내외 가맹점0.2~0.4%캐시백
병원 업종1만원캐시백
배달의민족2천원캐시백",https://api.card-gorilla.com:8080/storage/card/435/card_img/20935/435card.png,체크카드
22,트래블로그 체크카드,하나카드,해외겸용 없음,전월실적없음,"해외 가맹점 이용수수료면제
해외 ATM 인출수수료면제
국내가맹점0.3%적립",https://api.card-gorilla.com:8080/storage/card/2394/card_img/25975/2394card.png,체크카드
23,트리플카드,한패스,"해외겸용 10,000원",전월실적없음,"해외 결제시3%캐시백
국내 결제시0.3%캐시백
전 세계 ATM무료수수료",https://api.card-gorilla.com:8080/storage/card/2454/card_img/27870/2454card.png,체크카드
24,올바른POINT체크카드,NH농협카드,해외겸용 없음,전월실적없음,"전 가맹점0.4~0.2%적립
해외0.3%추가적립
국제공항라운지무료이용",https://api.card-gorilla.com:8080/storage/card/360/card_img/25852/360card.png,체크카드
25,쿠팡 신한카드 체크,신한카드,국내전용 없음 해외겸용 없음,전월실적20만원 이상,"쿠팡캐시3%적립
스타벅스10%캐시백",https://api.card-gorilla.com:8080/storage/card/283/card_img/20505/283card.png,체크카드
26,알뜰교통 비바 e 플래티늄 체크카드,하나카드,국내전용 없음 해외겸용 없음,전월실적25만원 이상,"대중교통15%캐시백
온라인쇼핑 최대5천원할인
해외직구 배송대행료20%할인",https://api.card-gorilla.com:8080/storage/card/746/card_img/27830/746card.png,체크카드
27,네이버페이 신한카드 체크 S2,신한카드,국내전용 없음 해외겸용 없음,전월실적없음,"네이버 최대2%적립
네이버 외0.1%적립",https://api.card-gorilla.com:8080/storage/card/2268/card_img/20698/2268card.png,체크카드
28,라이언 치즈 체크카드,NH농협카드,국내전용 없음 해외겸용 없음,전월실적20만원 이상,"커피최대 1%적립
대중교통1.5%적립
유튜브결제5%적립",https://api.card-gorilla.com:8080/storage/card/528/card_img/21216/528card.png,체크카드
29,MY 체크카드,케이뱅크,해외겸용 없음,전월실적없음,"대중교통 최대450원씩적립
카페 최대500원캐시백
패스트푸드 최대500원캐시백",https://api.card-gorilla.com:8080/storage/card/2425/card_img/27182/2425card.png,체크카드
30,NU Uniq Check,우리카드,국내전용 없음 해외겸용 없음,전월실적30만원 이상,"국내 가맹점0.2%적립
DAILY 가맹점1%적립
EAT 가맹점1%적립",https://api.card-gorilla.com:8080/storage/card/2370/card_img/25307/2370card.png,체크카드
